Ціна оренди (грн),Ціна оренда (usd),Місто,Район,Мікрорайон,Метро,Вулиця,Номер будинку,Назва ЖК,Загальна площа,Житлова площа,Площа кухні,Поверх,Всього поверхів,Кімнат,Тип стін,Кількість фото,Студія,Спальні місця,Широта,Довгота,Дата,Посилання,Опис,Спокійний район,Тихий двір,Поруч з парком,Новий ремонт,У центрі,Можна з тваринами,Поруч з метро,Кухня-студія,Територія охороняється,Гарний краєвид,Престижний район,Тип пропозиції,Комуналка взимку,Комуналка влітку,Рік побудови,Тварини (опис),Комісія,Тип стіни (опис),Опалення,Підігрів води,Приміщення,Зручності,Розташування,Планування,Ліфт,Агенство
10 000,242,Харків,Шевченківський,,Наукова,вул. Клочківська,101Ж,,53.0,,12.0,5,10,1,цегла,9,0,,50.00590318,36.21705687,2024-08-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-shevchenkovskiy-klochkovskaya-ulitsa-31861174.html,"Здам 1 кімнатну квартиру, ЖК 'Домініон', Шевченківський, Павлово Поле, вул. Клочківська 101Ж, м. Наукова.  
Квартира з ремонтом, мебльована і укомплектована для комфортного проживання.  
Додатково сплачуються комунальні платежі.  
Об'єкт  111-894-968",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,EstatyQ
4 000,97,Харків,Салтівський,,,вул. Бестужева,11Б,,19.0,,5.0,4,6,1,цегла,5,0,,49.99257631,36.28309704,2024-08-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-saltovskiy-bestujeva-ulitsa-31931429.html,"Здаємо квартиру ЖК 'Бестужевські сади', ТРЦ Французський Бульвар, вул. Бестужева 11Б, Салтівка.  
Квартира з сучасним ремонтом і укомплектована для комфортного проживання.  
Додатково сплачуюються комунальні послуги.  
Об'єкт  111-894-375",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,EstatyQ
24 810,600,Харків,Шевченківський,Центр,Пушкінська,вул. Студентська,22,,72.0,,10.0,6,16,2,цегла,16,0,,50.00584384,36.25764778,2024-08-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-tsentr-studencheskaya-ulitsa-31932545.html,"Здається 2х-квартира з дизайнерським ремонтом, новобудова, комплекс 'Чумацький Шлях'. вул. Студентська 22 (м.Пушкінська).  
Квартира оснащена всією технікою і меблями. Затишна і сучасна! Стиль лофт . Двір закритий .Квартира підключена до охоронного агентства! 
Додатково плюс комунальні послуги.  
Об'єкт  111-894-369",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,EstatyQ
35 000,846,Харків,Шевченківський,Центр,Наукова,вул. Трінклера,17,,190.0,,30.0,4,24,3,цегла,14,0,,,,2024-08-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-tsentr-trinklera-ulitsa-31931428.html,"Здається 3-х кімнатна квартира на 4-му поверсі нового сучасного та комфортабельного будинку на вулиці Трінклера, в Шевченківському районі Харкова, недалеко м. Наукова. Будинок монолітний, за 10-ть хвилин від Центрального парку (Горького), є підземна парковка з власним місцем для машини.  
Загальна площа квартири 190 кв.м: -tкухня-вітальня площею 30м2, оснащена електричною плитою, духовою шафою, мікрохвильовою піччю, витяжкою, холодильником, посудомийною машиною, барною стійкою та великим обіднім столом на 6 осіб; -t2 кімнати, кожна кімната має окремий вхід; кімнати обладнані італійськими меблями, спальним місцем, телевізором, шафами для зберігання речей та приліжковими тумбами, а також кондиціонерами з функцією обігріву; -t2 санвузли, один основний: ванна, душ, умивальник, сушка для рушників, бойлер, біде та тумба для складання речей. Тут же розташована пральна машина. Інший санвузол  гостьовий в якому знаходяться умивальник та унітаз. -t2 лоджії, розміром 4 кв.м та 10 кв.м. Засклені та утеплені. В квартирі є вся необхідна побутова техніка та швидкісний інтернет, супутникове ТВ, підлога з натурального дерева, італійськи меблі, кахель, освітлення, великі шафи-купе, бойлер, стоять лічильники на газ та електроенергію, опалення централізоване, у будинку встановлений власний газовий котел, наявний теплий пол. Є велика гардеробна кімната. Будинок і подвіря має відеонагляд, територія під постійною охороною, в будинку знаходиться консьєрж, своя підземна парковка, гостьовий паркінг. Дуже зручний підїзд та виїзд в усіх напрямках городу. У будинку стоїть власний генератор для ліфтів. Поблизу розташовані відділення Укрпошти, аптеки, кафе, студія краси, банкомати, стомалогія, дитячі і спортивні майданчики, футбольне поле. У кроковій доступності  продуктовий магазин АТБ, Сумський ринок, басейн, метро. Квартира дуже тепла, світла, охайна та готова до заселення.  
Додатково сплачуються комунальні послуги.  
Об'єкт  111-894-372",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,EstatyQ
8 000,193,Харків,Шевченківський,,,вул. Мирослава Мисли(Цілиноградська),58Б,,51.0,,12.0,11,20,1,цегла,16,0,,50.046728,36.206049,2024-08-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-shevchenkovskiy-tselinogradskaya-ulitsa-31934684.html,"Здам квартиру 50 метрів, в новобудові ЖК 'Дует', 3 хвилини від метро Олексіївська. Вул. Мирослава Мисли, (колишня Целіноградська), 58Б.  
Формат спальня + кухня-вітальня. (відділяється від кухні розсувними скляними дверима). Поверх 11 (будинок 20 поверховий). Новобудова обжита, у будинку консьєрж, 4 ліфти, поштомат Нової пошти, 10 метрів від під'їзду 'Рибне ремесло', у районі метро АТБ, Сільпо, Розетка, Єва, Аврора, Пекарня та багато невеликих магазинів. Капремонт, усе необхідне для проживання. Крім основної необхідної техніки у квартирі 2 кондиціонери, 2 телевізори зі Смартом, посудомийна машинка, бойлер 100 літрів (від Тепломережі гаряча вода теж є), праска, електрочайник.  
Додатково + комуналка, інтернет. З обов'язкових щомісячних платежів приблизно 500 грн. На світло, воду, опалення лічильники. На батареях термоголовки для самостійного регулювання нагріву.  
Об'єкт  111-894-336",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,EstatyQ
4 800,116,Харків,Салтівський,,Академіка Павлова,вул. Академіка Барабашова,10,,36.0,,25.0,8,9,1,цегла,9,0,,50.01257858,36.30379936,2024-08-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-saltovskiy-akademika-barabashova-ulitsa-31903289.html,"Здам сучасну 1-кімнатну квартиру в житловому комплексі Пташка, вул. Барабашова, будинок 10, Будинок розташований в 14 хв.ходьби від станції метро Академіка Павлова, Салтівка 
Формат квартири: студія з відокремленим спальним місцем, лоджія, санвузол, передпокій, у квартирі виконано сучасний ремонт. Поруч із будинком знаходяться: парковка, дитячий майданчик, кафе, магазини, супермаркет.  
Додатково сплачуються комунальні послуги.  
Об'єкт  111-894-348",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,EstatyQ
5 000,121,Харків,Салтівський,,,просп. Тракторобудівників,79/72,,35.0,,9.0,2,9,1,цегла,8,0,,,,2024-08-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-saltovskiy-traktorostroiteley-prospekt-31931430.html,"Здам 1 кімнатну квартиру, Салтівка 605 мкр, проспект Тракторобудівників 79/72.  
Квартира дуже гарна, тепла і затишна. Є холодильник, пральна машинка, кондіционер, варочна газова плита. Також на кухні увесь необхідний посуд та приладдя для готування. Великий і комфортний двомісний диван. Велика вбудована шафа та велика кладова. Можливо з тваринами 5000 грн + комунальні послуги Якщо є запитання дзвоніть Квартира вільна з 10 червня. 
Додатково сплачуються комунальні платежі.  
Об'єкт  111-894-379",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,EstatyQ
6 000,145,Харків,Салтівський,,Академіка Павлова,вул. Гвардійців-Широнінців,26,,46.0,,6.0,9,9,2,цегла,8,0,,50.003558,36.334037,2024-08-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-saltovskiy-gvardeytsev-shironintsev-ulitsa-31936732.html,"Здаємо 2-х кімнатну квартиру, Салтівка, 605 мкрн, вул. Гвардійців Широнінців 26, м. Академіка Павлова.  
Квартира з ремонтом і укомплектована для проживання.  
Додатково сплачуються комунальні послуги.  
Об'єкт  111-894-350",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,EstatyQ
2 500,60,Харків,Салтівський,,Академіка Павлова,вул. Чернівецька,5В,,19.0,,3.0,2,6,1,цегла,9,1,,,,2024-08-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-saltovskiy-chernovitskaya-ulitsa-31833966.html,"Здам 1 кімнатну квартиру-студію на Чернівецькій вулиці 5В. Салтівка. 
Квартира мебльована і укомплектована для комфортного проживання. 
Додатково оплачуються комунальні послуги за лічильниками. 
об'єкт  111-893-830",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,EstatyQ
4 700,114,Харків,Салтівський,,Студентська,просп. Тракторобудівників,3,,37.0,,7.0,8,9,1,цегла,12,0,,49.98376834,36.34113717,2024-08-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-saltovskiy-traktorostroiteley-prospekt-31833967.html,"Здам 1 кімнатну квартиру на проспекті Тракторабудівників, Салтівка. 
Квартира мебльована і укомлектована для комфортного проживання. 
Додатково оплачуються комунальні по лічильникам. 
об'єкт  111-893-831",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,EstatyQ
5 500,133,Харків,Салтівський,,,просп. Тракторобудівників,103Б,,50.0,,15.0,5,14,1,цегла,10,0,,50.0204,36.361,2024-08-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-saltovskiy-traktorostroiteley-prospekt-31833959.html,"Здам квартиру на просп. Тракторабудівників 103 б. Салтівка 
Квартира мебльована і укомплектована для комфортного проживання. 
Додатково оплачуються комунальні послуги за лічильниками. 
об'єкт  111-893-807",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,EstatyQ
7 000,169,Харків,Слобідський,,,пр. Садовий,11А,,40.0,,15.0,1,9,1,цегла,7,0,,49.950524,36.31012,2024-08-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-slobodskoy-sadovyy-proezd-31833960.html,"Здам квартиру на Садовому проїзді. Слобідський район 
Квартира мебльована і укомплектована для комфортного проживання. 
Комунальні входять в вартість аренди. Додатково нічого оплачувати не потрібно. 
об'єкт  111-893-825",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,EstatyQ
3 500,85,Харків,Слобідський,,,просп. Байрона(Героїв Сталінграда),25,,40.0,,8.0,6,9,1,цегла,16,0,,49.944804,36.27648,2024-08-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-slobodskoy-geroev-stalingrada-prospekt-31833963.html,"Здам квартиру на Героїв Сталінграда 25.Слобідський район. 
Квартира мебльована і укомплектована для комфортного проживання. 
Додатково оплачуються комунальні послуги по квитанціям. 
об'єкт  111-893-826",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,EstatyQ
4 000,97,Харків,Салтівський,,,вул. Соборності України(Дружби Народів),229,,36.0,,7.0,6,9,1,цегла,10,0,,50.035873,36.354758,2024-08-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-saltovskiy-drujby-narodov-ulitsa-31833965.html,"Здам 1 кімнатну квартиру на Дружбі Народів 229. Салтівка. 
Квартира мебльована і укомплектована для комфортного проживання. 
Додатково сплачуються комунальні послуги за лічильниками. 
об'єкт  111-893-811",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,EstatyQ
5 000,121,Харків,Салтівський,,,вул. Гвардійців-Широнінців,44,,53.0,,8.0,8,9,2,цегла,7,0,,50.019034,36.346893,2024-08-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-saltovskiy-gvardeytsev-shironintsev-ulitsa-31838198.html,"Здам 2 кімнатну квартиру на вул. Гвардійців-широнінців 44. Салтівка, 607 мкрн.  
Квартира мебльована і укомплектована для комфортного проживання. 
Якщо з тваринкою- доплата 1000 грн.Залог за останній місяць обовьязковий. 
Додатково оплачуються ком послуги за лічильниками. 
Об'єкт  111-893-622",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,EstatyQ
5 000,121,Харків,Немишлянський,,,вул. Біблика,42,,16.0,,3.0,1,4,1,цегла,7,0,,49.943248,36.384573,2024-08-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-nemyshlyanskiy-biblika-ulitsa-31833969.html,"Здам 1 кімнатну квартиру на вулиці Бібліка 42, Нові Дома. 
Квартира мебльована і укомплектована для комфортного проживання. 
Додатково сплачуються комунальні послуги за лічильниками. 
об'єкт  111-893-812",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,EstatyQ
2 500,60,Харків,Індустріальний,,,бул. Івана Каркача,73,,16.0,,2.0,5,5,1,цегла,6,0,,49.93041032,36.39183263,2024-08-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-industrialnyy-ivana-karkacha-bulvar-31840111.html,"Здам 1 кімнатну квартиру на Івана Каркача 73. Індустріальний р-он. 
Квартира мебльована і укомплектована для комфортного проживання. 
Додатково сплачуються ком послуги за лічильниками. 
об'єкт  111-893-321",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,EstatyQ
6 000,145,Харків,Шевченківський,,Олексіївська,просп. Перемоги,66Д,,54.0,,18.0,7,9,2,цегла,9,0,,50.05960575,36.21190157,2024-08-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-shevchenkovskiy-pobedy-prospekt-31833957.html,"Здам 2 кімнатну квартиру на проспекті Перемоги 66д. Олексіївка. 
Квартира мебльована і укомплектована для комфортного проживання. 
Додатково оплачуються комунальні послуги за лічильниками. 
Об'єкт  111-893-808",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,EstatyQ
4 000,97,Харків,Салтівський,,,вул. Героїв Праці,47Б,,74.0,,7.0,8,9,3,цегла,5,0,,50.018334,36.366671,2024-08-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-saltovskiy-geroev-truda-ulitsa-31833962.html,"Здам 3 кімнатну квартиру на вулиці Героїв Праці 47 б. Салтівка. 
Квартира мебльована і укомплектована для проживання. 
Додатково оплачується світло за лічильником. 
об'єкт  111-893-816",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,EstatyQ
6 500,157,Харків,Новобаварський,,,просп. Ново-Баварський,19,,60.0,,10.0,2,5,2,цегла,8,0,,49.94768203,36.17688337,2024-08-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-novobavarskiy-ilicha-prospekt-31820878.html,"Здам 2 кімнатну квартиру на Новобаварському проспекті, 19.  
Квартира мебльована і готова для проживання. 
Комунальні платежі по лічильникам.  
Номер об'єкта  111-893-320.",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,EstatyQ
4 000,97,Харків,Салтівський,,,вул. Амосова,40,,67.0,,6.0,12,13,3,цегла,7,0,,49.983979,36.359548,2024-08-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-saltovskiy-31840113.html,"Здам 3-х кімнатну квартиру по вул Амосова 40. Салтівка. 
Квартира мебльована і укомплектована для комфортного проживання. 
Додатково сплачуються ком послуги за лічильниками. 
об'єкт  111-893-312",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,EstatyQ
7 500,181,Харків,Київський,,,вул. Шатилова Дача,11,,47.0,,12.0,1,9,1,цегла,10,0,,,,2024-08-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-kievskiy-shatilova-dacha-ulitsa-31840108.html,"Здам 1 кімнатну квартиру на Шатиловій Дачі 55. буд 11. Київський р-он. 
Квартира мебльована і укомплектована для комфортного проживання. 
Додатково сплачуються ком послуги за лічильниками. 
об'єкт  111-893-292",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,EstatyQ
3 000,73,Харків,Київський,,Студентська,вул. Академіка Павлова,309,,34.0,,6.0,9,12,1,цегла,10,0,,50.018857,36.32989,2024-08-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-kievskiy-akademika-pavlova-ulitsa-31840103.html,"Здам 1 кімнатну квартиру по вул Академіка Павлова 309. Студентська 
Квартира мебльована і укомплектована для комфортного проживання. 
Додатково сплачуються ком послуги за лічильниками. 
об'єкт  111-893-267",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,EstatyQ
3 000,73,Харків,Салтівський,,,вул. Леся Сердюка,16,,38.0,,7.0,8,9,1,цегла,8,0,,50.03405,36.346229,2024-08-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-saltovskiy-komandarma-korka-ulitsa-31840109.html,"Здам 1 кімнатну квартиру по вул Леся сердюка 16. Північна Салтівка 1 (Джерела)  
Квартира мебльована і укомплектована для комфортного проживання. 
Додатково сплачуються ком послуги за лічильниками. 
об'єкт  111-893-283",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,EstatyQ
5 000,121,Харків,Салтівський,,Академіка Павлова,вул. Академіка Барабашова,10В,,33.0,,9.0,4,9,1,цегла,8,0,,50.01265924,36.30568337,2024-08-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-saltovskiy-akademika-barabashova-ulitsa-31840110.html,"Здам квартиру на Академіка Барабашово 10 В.  
Квартира мебльована і укомплектована для комфортного проживання. 
Додатково сплачуються ком послуги за лічильниками. 
Об'єкт  111-893-284",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,EstatyQ
6 000,145,Харків,Шевченківський,,Ботанічний сад,вул. Тобольська,47А,,44.0,,6.0,5,5,2,цегла,16,0,,50.029865,36.219723,2024-08-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-shevchenkovskiy-tobolskaya-ulitsa-31840106.html,"Здам 2-х кімнатну квартиру на вул Тобольська 47а. Павлове поле, Шевченківський. 
Квартира мебльована і укомплектована для комфортного проживання. 
Додатково сплачуються ком послуги за лічильниками. 
об'єкт  111-893-286",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,EstatyQ
4 000,97,Харків,Шевченківський,Центр,Захисників України,вул. Богдана Хмельницького,12А,,22.0,,9.0,2,5,1,цегла,10,0,,49.98707,36.253132,2024-08-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-tsentr-bogdana-hmelnitskogo-ulitsa-31811375.html,"Здам 2-х рівневу квартиру вул. Богдана Хмельницького 12А навпроти Протона, Центр. 
Квартира з євро ремонтом та необхідною технікою, 5 хв до м.Захисників України.  
Комунальні послуги сплачуються додатково.  
Об'єкт  111-892-691",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,EstatyQ
8 000,193,Харків,Шевченківський,Центр,Наукова,вул. Шатилівська,416,,48.0,,7.0,1,9,2,цегла,12,0,,,,2024-08-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-tsentr-31809738.html,"Здам 2 кімнатну квартиру, Центр, Шевченківський, Павлово Поле, м. Наукова, вул Шатилівська 416, недалеко від Сумського ринку.  
Квартира в житловому стані і укомплектована для комфортного проживання. 
Додатково сплачуються комунальні послуги.  
Об'єкт  111-893-102",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,EstatyQ
5 500,133,Харків,Салтівський,,Студентська,вул. Академіка Павлова,311,,34.0,,8.0,12,12,1,цегла,3,0,,50.02012,36.331011,2024-08-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-saltovskiy-akademika-pavlova-ulitsa-31887695.html,"Здам 1к квартиру, перший будинок від метро Студентська. Адреса - вул. Ак. Павлова 311.  
У квартирі є вся техніка та обладнання - телевізор, кондиціонер, мікрохвильова піч, електродуховка, wi-fi роутер, ліфт система для сушіння білизни. Балкон засклений..  
Додатково оплачується тільки електрика та інтернет.  
Об'єкт  111-892-167",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,EstatyQ
3 900,94,Харків,Слобідський,,,Героїв Небесної Сотні майд.,7А,,17.0,,6.0,2,2,1,цегла,8,1,,,,2024-08-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-slobodskoy-geroev-nebesnoy-sotni-maydan-31807525.html,"Здам 1 кімнатну квартиру-студію. Слобідський, Кінний ринок, Центр, м. Захиників України 10 хв.  
Квартира з ремонтом і укомплектована для комфортного життя.  
Додатково сплачуються комунальні послуги.  
Об'єкт  111-892-932",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,EstatyQ
5 500,133,Харків,,,,вул. Олексія Дерев'янка,3А,,34.0,,6.0,9,9,1,цегла,11,0,,50.037591,36.240411,2024-08-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-31935024.html,"Здам в оренду квартиру в центрі Павлово Поле , біля Ботанічного Саду . Адреса Дерев'янко 3а . Від метро 23 Серпня 12 хвилин пішки . Громадський транспорт 2 хвилини .  
У квартирі оновлений ремонт і виконаний клінінг. Нові меблі . Квартира світла , чиста і дуже красива .  
Комунальні платежі сплачуються додатково.",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,EstatyQ
3 800,92,Харків,Слобідський,,,вул. Ньютона,123,,30.0,,6.0,5,5,1,цегла,9,0,,49.93963538,36.30462862,2024-08-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-slobodskoy-nyutona-ulitsa-31807944.html,"Здам квартиру, Слобдський, Комунальний ринок, вул. Ньютона 123.  
Квартира в житловому стані і укомплектована для проживання.  
Додатково сплачуються комунальні послуги по лічильникам.  
Об'єкт  111-892-689",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,EstatyQ
10 000,242,Харків,Салтівський,,Захисників України,просп. Героїв Харкова(Московський),131Г,,64.0,,12.0,7,12,2,цегла,11,0,,49.990411,36.267853,2024-08-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-saltovskiy-moskovskiy-prospekt-31887696.html,"Здам гарну квартиру в ЖК, Слобідський, проспект Героїв Харкова 131Г, недалеко ТЦ Французський Бульвар.  
Новий ремонт, уся необхідна техніка та меблі. Є кондиціонер, вікна панорамні. 7 хвилин від центру. Під будинком метро, ринок, парк. У будинку всі ремонти закінчені. Зі світлом все окей Тихий район.  
Додатково сплачуються комунальні послуги.  
Об'єкт  111-892-169",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,EstatyQ
3 600,87,Харків,Слобідський,,Армійська,просп. Героїв Харкова(Московський),222,,30.0,,6.0,1,5,1,цегла,7,0,,49.959597,36.344869,2024-08-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-slobodskoy-moskovskiy-prospekt-31934683.html,"Здаємо квартиру, проспект Героїв Харкова 222, Немишлянський, м. Армійська.  
Квартира в житловому стаі і укомплектована для проживання.  
Додатково сплачуються комунальні посуги.  
Об'єкт  111-892-656",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,EstatyQ
4 000,97,Харків,Шевченківський,,23 Серпня,вул. Олексія Дерев'янка,42,,34.0,,6.0,4,9,1,цегла,6,0,,50.036156,36.237148,2024-08-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-shevchenkovskiy-31814604.html,"Здам 1 кімнатну квартиру вул. Дерев'янка 42, Шевченківський район, Павлово Поле, недалеко м.23 Серпня.  
Квартира в житловому стані та укомплектована для проживання.  
Комунальні послуги сплачуються додатково.  
Об'єкт  111-892-685",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,EstatyQ
5 000,121,Харків,,,Студентська,вул. Академіка Павлова,132,,36.0,,10.0,9,12,1,цегла,8,0,,50.01366485,36.32685359,2024-08-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-akademika-pavlova-ulitsa-31807945.html,"Сдам 1 - комнатную изолированную квартиру возле метро Студенческая (2й дом от выхода метро). 9-й этаж из 12-ти, два лифта.  
Есть вся необходимая мебель и техника. Состояние отличное, новый ремонт  
Доп. расходы + коммунальные.",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,EstatyQ
10 000,242,Харків,Шевченківський,,,вул. Мирослава Мисли(Цілиноградська),58А,,50.0,,15.0,2,18,1,цегла,5,0,,50.04597201,36.20621638,2024-08-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-shevchenkovskiy-tselinogradskaya-ulitsa-31770324.html,"Здаємо в оренду квартиру ЖК Дует.Здається в оренду квартира, площею 49кв.м з євроремонтом. Є всі необхідні зручності для комфортного проживання: праска, електрочайник, холодильник, духова шафа, пральна машина, мікрохвильова піч, швидкісний інтернет, супутникове ТБ. Також поруч є ліс та чудова інфраструктура.Об'єкт  111-890-645",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,EstatyQ
4 500,109,Харків,Салтівський,,Студентська,вул. Валентинівська,18,,32.0,,18.0,8,9,1,цегла,8,0,,50.01559797,36.33124591,2024-08-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-saltovskiy-blyuhera-ulitsa-31817684.html,"Здам 1 кімн. квартиру, Салтівка 520 мкрн, вул. Валентинівська 18, м. Студентська.  
Квартира з косметичним ремонтом і укомплетована для комфортного проживання.  
Додатково сплачується світло і інтернет. Опалення не сплачується.  
Об'єкт  111-890-637",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,EstatyQ
16 000,387,Харків,Шевченківський,Центр,Держпром,вул. Бориса Чичибабіна,2,,46.0,,18.0,5,5,2,цегла,8,0,,50.00585,36.222834,2024-08-08,https://dom.ria.com/uk/realty-dolgosrochnaya-arenda-kvartira-harkov-tsentr-borisa-chichibabina-ulitsa-31611846.html,"Здаю 2 кімнатну квартиру, вул.Чичибабіна 2, Центр.  
Простора квартира з усіма зручностями, м. Держпром.  
Комунальні послуги сплачуються додатково.  
Об'єкт  111-884-644",0,0,0,0,0,0,0,0,0,0,0,Пропозиція від посередника,,,,0,0,цегли,,,,,,,,EstatyQ
